i,j,x,y,rho,p,T,u,v,miubl
4,1,2.39086222e+00,5.68197716e-01,1.15701826e+00,1.00138340e+05,3.01500124e+02,4.91635032e+01,-1.37348691e+01,1.12020385e-06
4,2,1.74531857e+00,1.54681672e+00,1.17147273e+00,1.00825316e+05,2.99822850e+02,7.93067746e+01,-1.45885575e+01,1.49615534e-06
4,3,6.37375898e-01,2.10688189e+00,1.17599540e+00,1.00927638e+05,2.98972889e+02,8.72631036e+01,3.62074378e+00,1.66285439e-06
4,4,-6.37375898e-01,2.10688189e+00,1.17629961e+00,1.01270721e+05,2.99911603e+02,7.61217501e+01,8.82974608e+00,1.56704691e-06
4,5,-1.74531857e+00,1.54681672e+00,1.18220567e+00,1.02045204e+05,3.00695466e+02,6.87076443e+01,7.28122218e+00,1.54134877e-06
4,6,-2.39086222e+00,5.68197716e-01,1.18620434e+00,1.02501838e+05,3.01022848e+02,6.32460584e+01,3.12046171e+00,1.55320484e-06
4,7,-2.39086222e+00,-5.68197716e-01,1.18620434e+00,1.02501838e+05,3.01022848e+02,6.32460584e+01,-3.12046171e+00,1.55320484e-06
4,8,-1.74531857e+00,-1.54681672e+00,1.18220567e+00,1.02045204e+05,3.00695466e+02,6.87076443e+01,-7.28122218e+00,1.54134877e-06
4,9,-6.37375898e-01,-2.10688189e+00,1.17629961e+00,1.01270721e+05,2.99911603e+02,7.61217501e+01,-8.82974608e+00,1.56704691e-06
4,10,6.37375898e-01,-2.10688189e+00,1.17599540e+00,1.00927638e+05,2.98972889e+02,8.72631036e+01,-3.62074378e+00,1.66285439e-06
4,11,1.74531857e+00,-1.54681672e+00,1.17147273e+00,1.00825316e+05,2.99822850e+02,7.93067746e+01,1.45885575e+01,1.49615534e-06
4,12,2.39086222e+00,-5.68197716e-01,1.15701826e+00,1.00138340e+05,3.01500124e+02,4.91635032e+01,1.37348691e+01,1.12020385e-06
5,1,2.80422225e+00,6.92802139e-01,1.15997624e+00,1.00227348e+05,3.00998594e+02,5.58025426e+01,-1.25544807e+01,1.24681092e-06
5,2,2.04816430e+00,1.88751817e+00,1.17377438e+00,1.01000571e+05,2.99755060e+02,7.94994338e+01,-1.29518525e+01,1.54440417e-06
5,3,7.48248754e-01,2.57238791e+00,1.17564734e+00,1.00996517e+05,2.99265498e+02,8.20453594e+01,2.36639180e+00,1.62710734e-06
5,4,-7.48248754e-01,2.57238791e+00,1.17477736e+00,1.01103059e+05,2.99803050e+02,7.42290822e+01,6.41492585e+00,1.56066535e-06
5,5,-2.04816430e+00,1.88751817e+00,1.17960528e+00,1.01701900e+05,3.00344497e+02,6.92605032e+01,6.16405838e+00,1.56158992e-06
5,6,-2.80422225e+00,6.92802139e-01,1.18366498e+00,1.02179159e+05,3.00718983e+02,6.53807511e+01,2.61509770e+00,1.57154210e-06
5,7,-2.80422225e+00,-6.92802139e-01,1.18366498e+00,1.02179159e+05,3.00718983e+02,6.53807511e+01,-2.61509770e+00,1.57154210e-06
5,8,-2.04816430e+00,-1.88751817e+00,1.17960528e+00,1.01701900e+05,3.00344497e+02,6.92605032e+01,-6.16405838e+00,1.56158992e-06
5,9,-7.48248754e-01,-2.57238791e+00,1.17477736e+00,1.01103059e+05,2.99803050e+02,7.42290822e+01,-6.41492585e+00,1.56066535e-06
5,10,7.48248754e-01,-2.57238791e+00,1.17564734e+00,1.00996517e+05,2.99265498e+02,8.20453594e+01,-2.36639180e+00,1.62710734e-06
5,11,2.04816430e+00,-1.88751817e+00,1.17377438e+00,1.01000571e+05,2.99755060e+02,7.94994338e+01,1.29518525e+01,1.54440417e-06
5,12,2.80422225e+00,-6.92802139e-01,1.15997624e+00,1.00227348e+05,3.00998594e+02,5.58025426e+01,1.25544807e+01,1.24681092e-06
6,1,3.21798093e+00,8.17526731e-01,1.16413214e+00,1.00543668e+05,3.00870608e+02,6.10842557e+01,-1.05464998e+01,1.33763693e-06
6,2,2.35121087e+00,2.22844556e+00,1.17486772e+00,1.01129621e+05,2.99858750e+02,7.89701493e+01,-1.09503459e+01,1.55180582e-06
6,3,8.59183767e-01,3.03815490e+00,1.17663965e+00,1.01192639e+05,2.99593759e+02,7.95954042e+01,1.38114582e+00,1.59097998e-06
6,4,-8.59183767e-01,3.03815490e+00,1.17698418e+00,1.01357183e+05,2.99993070e+02,7.38351753e+01,4.40748397e+00,1.56485092e-06
6,5,-2.35121087e+00,2.22844556e+00,1.18107393e+00,1.01871208e+05,3.00470397e+02,6.94629056e+01,4.03551323e+00,1.55972470e-06
6,6,-3.21798093e+00,8.17526731e-01,1.18363364e+00,1.02177740e+05,3.00722769e+02,6.63768851e+01,1.66254807e+00,1.56573149e-06
6,7,-3.21798093e+00,-8.17526731e-01,1.18363364e+00,1.02177740e+05,3.00722769e+02,6.63768851e+01,-1.66254807e+00,1.56573149e-06
6,8,-2.35121087e+00,-2.22844556e+00,1.18107393e+00,1.01871208e+05,3.00470397e+02,6.94629056e+01,-4.03551323e+00,1.55972470e-06
6,9,-8.59183767e-01,-3.03815490e+00,1.17698418e+00,1.01357183e+05,2.99993070e+02,7.38351753e+01,-4.40748397e+00,1.56485092e-06
6,10,8.59183767e-01,-3.03815490e+00,1.17663965e+00,1.01192639e+05,2.99593759e+02,7.95954042e+01,-1.38114582e+00,1.59097998e-06
6,11,2.35121087e+00,-2.22844556e+00,1.17486772e+00,1.01129621e+05,2.99858750e+02,7.89701493e+01,1.09503459e+01,1.55180582e-06
